[Syscall Table from C:\Windows\System32\ntdll.dll]

---------------------------------------------------------------------------------
| Syscall Name                                          | Number | Number (hex) |
| NtSetLowEventPair                                     | 435    | 0x01B3       |
| NtSetLowWaitHighEventPair                             | 436    | 0x01B4       |
| NtSetQuotaInformationFile                             | 437    | 0x01B5       |
| NtSetSecurityObject                                   | 438    | 0x01B6       |
| NtSetSystemEnvironmentValue                           | 439    | 0x01B7       |
| NtSetSystemEnvironmentValueEx                         | 440    | 0x01B8       |
| NtSetSystemInformation                                | 441    | 0x01B9       |
| NtSetSystemPowerState                                 | 442    | 0x01BA       |
| NtSetSystemTime                                       | 443    | 0x01BB       |
| NtSetThreadExecutionState                             | 444    | 0x01BC       |
| NtSetTimer                                            | 98     | 0x0062       |
| NtSetTimer2                                           | 445    | 0x01BD       |
| NtSetTimerEx                                          | 446    | 0x01BE       |
| NtSetTimerResolution                                  | 447    | 0x01BF       |
| NtSetUuidSeed                                         | 448    | 0x01C0       |
| NtSetValueKey                                         | 96     | 0x0060       |
| NtSetVolumeInformationFile                            | 449    | 0x01C1       |
| NtSetWnfProcessNotificationEvent                      | 450    | 0x01C2       |
| NtShutdownSystem                                      | 451    | 0x01C3       |
| NtShutdownWorkerFactory                               | 452    | 0x01C4       |
| NtSignalAndWaitForSingleObject                        | 453    | 0x01C5       |
| NtSinglePhaseReject                                   | 454    | 0x01C6       |
| NtStartProfile                                        | 455    | 0x01C7       |
| NtStopProfile                                         | 456    | 0x01C8       |
| NtSubmitIoRing                                        | 457    | 0x01C9       |
| NtSubscribeWnfStateChange                             | 458    | 0x01CA       |
| NtSuspendProcess                                      | 459    | 0x01CB       |
| NtSuspendThread                                       | 460    | 0x01CC       |
| NtSystemDebugControl                                  | 461    | 0x01CD       |
| NtTerminateEnclave                                    | 462    | 0x01CE       |
| NtTerminateJobObject                                  | 463    | 0x01CF       |
| NtTerminateProcess                                    | 44     | 0x002C       |
| NtTerminateThread                                     | 83     | 0x0053       |
| NtTestAlert                                           | 464    | 0x01D0       |
| NtThawRegistry                                        | 465    | 0x01D1       |
| NtThawTransactions                                    | 466    | 0x01D2       |
| NtTraceControl                                        | 467    | 0x01D3       |
| NtTraceEvent                                          | 94     | 0x005E       |
| NtTranslateFilePath                                   | 468    | 0x01D4       |
| NtUmsThreadYield                                      | 469    | 0x01D5       |
| NtUnloadDriver                                        | 470    | 0x01D6       |
| NtUnloadKey                                           | 471    | 0x01D7       |
| NtUnloadKey2                                          | 472    | 0x01D8       |
| NtUnloadKeyEx                                         | 473    | 0x01D9       |
| NtUnlockFile                                          | 474    | 0x01DA       |
| NtUnlockVirtualMemory                                 | 475    | 0x01DB       |
| NtUnmapViewOfSection                                  | 42     | 0x002A       |
| NtUnmapViewOfSectionEx                                | 476    | 0x01DC       |
| NtUnsubscribeWnfStateChange                           | 477    | 0x01DD       |
| NtUpdateWnfStateData                                  | 478    | 0x01DE       |
| NtVdmControl                                          | 479    | 0x01DF       |
| NtWaitForAlertByThreadId                              | 480    | 0x01E0       |
